stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
U01415,12063,28.673355,77.143876,Punjabi Bagh Terminal (Rohtak Road),12063
U01467,12064,28.67296,77.147244,Punjabi Bagh West Power House,12064
U01531,12065,28.672048,77.153511,Ram Pura,12065
U01561,12066,28.671405,77.157274,Ram Pura (Ashok Park),12066
U01666,12067,28.668627,77.165368,Zakhira Flyover,12067
U01736,12068,28.666508,77.170188,Daya Basti Flyover,12068
U01829,12069,28.664714,77.175426,Anand Parbat Industrial Area,12069
U01975,12070,28.661228,77.185153,Sarai Rohilla Govt Qtrs (Rohtak Road),12070
U99969,12071,28.660021,77.188823,Liberty Cinema,12071
DC3682,12072,28.659335,77.19094,Ram Jas Road,12072
U02127,12073,28.657536,77.194888,Tibiya College,12073
U02198,12074,28.655493,77.199002,Guru Govind Singh Marg,12074
U02273,12075,28.659639,77.202922,Filmistan,12075
U02316,12076,28.6612659356506,77.2040411904315,Bara Hindu Rao,12076
U02378,12077,28.663272,77.207209,Azad Market,12077
U99804,12078,28.667634,77.210788,Ice Factory (Rani Jhansi Road),12078
U02833,12079,28.6601,77.2344,Kouria Bridge,12079
U02161,12080,28.6495,77.1981,Faiz Road,12080
U02119,12081,28.651681,77.194671,DB Gupta Market,12081
U02096,12082,28.652552,77.19304,Thana DB Gupta Road,12082
U02073,12083,28.653873,77.190673,Prahlad Market,12083
U02027,12084,28.655289,77.188123,Khalsa College,12084
U99845,12085,28.652183,77.18505,Kikar Wala Chowk,12085
DC3913,12086,28.649253,77.183031,Prasad Nagar,12086
U01907,12087,28.64465,77.181033,Radha Swami Satsang,12087
U01376,12088,28.651466,77.140817,F Block Kirti Nagar,12088
U01410,12089,28.648667,77.143167,PS Kirti Nagar,12089
U01333,12090,28.640867,77.13545,Fire Station Kirti Nagar,12090
U01162,12091,28.6298,77.1233,Metal Forging,12091
U01119,12092,28.6308,77.1193,DDA Flats Hari Nagar,12092
U01083,12093,28.6308,77.1149,Swarg Ashram,12093
U01066,12094,28.631183,77.112167,Beriwala Bagh,12094
U01057,12095,28.6282,77.111,DDU Hospital,12095
U01047,12096,28.624804,77.110518,Hari Nagar Shaheed Pawan Sahni Chowk,12096
U00853,12097,28.629784,77.091515,Janak Puri B-1 Terminal,12097
U00864,12098,28.626301,77.092102,Janakpuri B-2,12098
U00875,12099,28.622917,77.092751,Janak Puri B-3,12099
DC4064,12100,28.6212976,77.0889992,C2B Janak Puri,12100
U01213,12101,28.6044,77.1273,Kibri Place,12101
DC4242,12102,28.603826,77.196413,PS Chankya Puri,12102
DC4243,12103,28.606157,77.198901,Teen Murti,12103
DC4244,12104,28.610135,77.199151,South Enclave,12104
DC4245,12105,28.608993,77.203197,Tyag Raj Marg,12105
